item,name,group,party,district,constituency,gender,dob,dobPrecision,psid
Q22282329,Anita Vandenbeld,Q138345,Liberal Party of Canada,Q3357746,Ottawa West—Nepean,female,1971-12-03,11,Q22282329-07E543E7-7835-4018-8FC0-F8FC0E1D99B0
Q22282385,Salma Zahid,Q138345,Liberal Party of Canada,Q3475163,Scarborough Centre,female,,,Q22282385-F291A4F6-E420-49F3-A344-81823BFAE074
Q22442799,Marc Serré,Q138345,Liberal Party of Canada,Q3339824,Nickel Belt,male,1967-01-01,9,Q22442799-CF5EACB0-F5F9-4F36-BEA3-711528652AFE
Q22704261,Karen Vecchio,Q488523,Conservative Party of Canada,Q3050861,Elgin—Middlesex—London,female,1971-03-06,11,Q22704261-A43DFFE6-C09C-4D86-8A16-AE3DFB36DF18
Q22704264,Arif Virani,Q138345,Liberal Party of Canada,Q3365449,Parkdale—High Park,male,1971-11-23,11,Q22704264-1A99CBF0-DFD9-4827-A5B9-2CD2D41BFCE5
Q22770985,Filomena Tassi,Q138345,Liberal Party of Canada,Q16979665,Hamilton West—Ancaster—Dundas,female,1962-01-01,9,Q22770985-DFD8EFDE-B24F-4381-B331-55F5D13AB0B0
Q22770987,Martin Shields,Q488523,Conservative Party of Canada,Q2922698,Bow River,male,1948-04-28,11,Q22770987-65A2F957-568D-468A-BE41-3A1D28E9D3BC
Q22770988,Sonia Sidhu,Q138345,Liberal Party of Canada,Q16966835,Brampton South,female,1968-03-01,11,Q22770988-74D1FFCB-9022-4B01-AE93-3676ED0919A7
Q22770989,Kevin Waugh,Q488523,Conservative Party of Canada,Q16990152,Saskatoon—Grasswood,male,1955-01-01,9,Q22770989-35505A17-CC4B-4172-B134-204804CDB2AE
Q2403422,Carolyn Bennett,Q138345,Liberal Party of Canada,Q3495297,Toronto—St. Paul's,female,1950-12-20,11,Q2403422-1F867712-50D0-4472-89A9-D1E2C25D68CC
Q27663754,Glen Motz,Q488523,Conservative Party of Canada,Q767079,Medicine Hat—Cardston—Warner,male,1958-01-01,9,Q27663754-41C28B80-F855-4B4F-B552-E8BF751D4738
Q2830317,Alain Therrien,Q735105,Bloc Québécois,Q3217787,La Prairie,male,1966-07-06,11,Q2830317-0E0F2485-1F48-4420-BFED-06A8023683C8
Q2833301,Alexandra Mendès,Q138345,Liberal Party of Canada,Q16847474,Brossard—Saint-Lambert,female,1963-11-03,11,Q2833301-5F43BD49-A2E5-4999-A31B-855F52C70642
Q2833494,Alexandre Boulerice,Q130765,New Democratic Party,Q7368487,Rosemont–La Petite-Patrie,male,1973-06-18,11,Q2833494-37CBB83A-51EB-4361-907D-A3A5F481CC50
Q2846724,Andrew Scheer,Q488523,Conservative Party of Canada,Q3423524,Regina—Qu'Appelle,male,1979-05-20,11,Q2846724-B9A3031F-9402-4128-ADB5-4AA4475811B5
Q2852943,Anthony Rota,Q138345,Liberal Party of Canada,Q3342105,Nipissing—Timiskaming,male,1961-05-15,11,Q2852943-43F11CD5-9940-447C-A997-D6B576F9C55D
Q2895501,Ben Lobb,Q488523,Conservative Party of Canada,Q290779,Huron—Bruce,male,1976-09-10,11,Q2895501-7A06FF18-DE26-40D4-9A8D-2260EB4FCE03
Q2898026,Bernard Généreux,Q488523,Conservative Party of Canada,Q3322832,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,male,1962-04-23,11,Q2898026-DF3393A0-DDD6-4694-BA55-C1B651696C83
Q2905717,Blaine Calkins,Q488523,Conservative Party of Canada,Q16986104,Red Deer—Lacombe,male,1968-12-25,11,Q2905717-E1F63EB4-5752-4FC0-ADE3-ABD4643B2641
Q2905842,Blake Richards,Q488523,Conservative Party of Canada,Q16837639,Banff—Airdrie,male,1974-11-08,11,Q2905842-D0421793-4823-4298-AA35-F8F8F9BFF3E7
Q29138522,Mona Fortier,Q138345,Liberal Party of Canada,Q3357766,Ottawa—Vanier,female,1972-01-01,9,Q29138522-131B4937-E4B4-40FD-B9D2-5CD746537D72
Q29139192,Bob Benzen,Q488523,Conservative Party of Canada,Q16850469,Calgary Heritage,male,1959-03-03,11,Q29139192-FBD99CE8-13AA-48E7-920F-E2E5ABEC8E6F
Q29139548,Mary Ng,Q138345,Liberal Party of Canada,Q16977883,Markham—Thornhill,female,1969-12-16,11,Q29139548-E58B9C0B-056E-4ECA-A2B6-D95D03F53701
Q29139551,Stephanie Kusie,Q488523,Conservative Party of Canada,Q16850474,Calgary Midnapore,female,1973-01-01,9,Q29139551-0D3E425E-30E0-4E1C-BBF3-BEB601890337
Q29139554,Emmanuella Lambropoulos,Q138345,Liberal Party of Canada,Q3462729,Saint-Laurent,female,1991-01-01,9,Q29139554-C09446F8-2D28-4184-9CF7-CCB1334AD4ED
Q2936261,Candice Bergen,Q488523,Conservative Party of Canada,Q3398756,Portage—Lisgar,female,1964-09-28,11,Q2936261-36F7939D-C97C-4B9B-8653-0C8DF47B6989
Q2960818,Charlie Angus,Q130765,New Democratic Party,Q3529015,Timmins—James Bay,male,1962-11-14,11,Q2960818-FFB0DE47-1A09-4BB2-93C5-165F7644E57F
Q2962814,Cheryl Gallant,Q488523,Conservative Party of Canada,Q3425442,Renfrew—Nipissing—Pembroke,female,1960-05-23,11,Q2962814-F528C908-D0CE-4C09-B715-FB7531D8EA4C
Q2964888,Chris Warkentin,Q488523,Conservative Party of Canada,Q16982509,Grande Prairie—Mackenzie,male,1978-11-20,11,Q2964888-F5E91779-915D-4E6E-AA6D-8D2420340ECA
Q2977252,Claude DeBellefeuille,Q735105,Bloc Québécois,Q16999438,Salaberry—Suroît,female,1963-12-13,11,Q2977252-A7FE30CC-4D44-4785-848E-05210A822F42
Q2982579,Colin Carrie,Q488523,Conservative Party of Canada,Q3357223,Oshawa,male,1962-04-11,11,Q2982579-B36613D8-BDA2-4280-A5E6-907B61B2A0A2
Q3013003,Dan Albas,Q488523,Conservative Party of Canada,Q16858686,Central Okanagan—Similkameen—Nicola,male,1976-12-01,11,Q3013003-835D904B-60A6-480A-8AD4-B05CBE8B355E
Q3017193,Dave MacKenzie,Q488523,Conservative Party of Canada,Q3359048,Oxford,male,1946-06-12,11,Q3017193-E57D945A-0EE4-48FD-B281-43BBA6F0DD7C
Q3018407,David McGuinty,Q138345,Liberal Party of Canada,Q3357747,Ottawa South,male,1960-02-25,11,Q3018407-35E748E2-4930-4611-A015-728A87914AD5
Q3020613,Dean Allison,Q488523,Conservative Party of Canada,Q16977205,Niagara West,male,1965-02-18,11,Q3020613-96DD8240-65C4-426C-9EAB-B1679198F1E3
Q3022947,Denis Trudel,Q735105,Bloc Québécois,Q21027519,Longueuil—Saint-Hubert,male,1963-07-18,11,Q3022947-F848C23F-FC20-440F-A562-BD7531EB9C54
Q30302772,Simon-Pierre Savard-Tremblay,Q735105,Bloc Québécois,Q3462434,Saint-Hyacinthe—Bagot,male,1988-05-01,10,Q30302772-0D457E4C-97E8-4D71-B761-A57572CABE93
Q3034854,Dominic LeBlanc,Q138345,Liberal Party of Canada,Q2893293,Beauséjour,male,1967-12-14,11,Q3034854-E919882D-E110-4781-8C38-680F3663F709
Q3035523,Dominique Vien,Q488523,Conservative Party of Canada,Q3272022,Bellechasse—Les Etchemins—Lévis,female,1967-02-10,11,Q3035523-63D994DF-7447-4E0F-8577-4B18CFB69BE9
Q3035763,Don Davies,Q130765,New Democratic Party,Q3554467,Vancouver Kingsway,male,1963-01-16,11,Q3035763-C68932B5-4DFD-4D1A-A6F5-BBBE5A073536
Q3046379,Earl Dreeshen,Q488523,Conservative Party of Canada,Q16999879,Red Deer—Mountain View,male,1953-07-09,11,Q3046379-33BE2E07-A443-454B-8E73-5BA876F303B6
Q3047171,Ed Fast,Q488523,Conservative Party of Canada,Q2820842,Abbotsford,male,1955-06-18,11,Q3047171-00DAF768-0B7D-416D-B140-C384522A8356
Q3052684,Emmanuel Dubourg,Q138345,Liberal Party of Canada,Q2922232,Bourassa,male,1958-12-26,11,Q3052684-1EC161FC-47F4-423F-92C7-15C2FAA6E941
Q3099714,Justin Trudeau,Q138345,Liberal Party of Canada,Q3362910,Papineau,male,1971-12-25,11,Q3099714-EC57F8CF-43BA-4B0A-9A65-777A3A480A2E
Q3123899,Gérard Deltell,Q488523,Conservative Party of Canada,Q3260876,Louis-Saint-Laurent,male,1964-08-08,11,Q3123899-BCDABBD4-F96E-47B3-83D3-ECD1CC619A5D
Q3129348,Hedy Fry,Q138345,Liberal Party of Canada,Q3554460,Vancouver Centre,female,1941-08-06,11,Q3129348-BEB6D958-279B-4C18-BC67-ED69BC6FBDF1
Q3160637,Jake Stewart,Q488523,Conservative Party of Canada,Q17000012,Miramichi—Grand Lake,male,1978-03-10,11,Q3160637-793796BA-E888-4889-BC90-231188B051A8
Q3160939,James Bezan,Q488523,Conservative Party of Canada,Q16978916,Selkirk—Interlake—Eastman,male,1965-05-19,11,Q3160939-D4F55118-406D-4BDE-97DA-88571B417788
Q3182063,John McKay,Q138345,Liberal Party of Canada,Q3475168,Scarborough—Guildwood,male,1948-03-21,11,Q3182063-7AFA8444-84BA-4058-AB2E-34FB08A1274D
Q3187235,Joyce Murray,Q138345,Liberal Party of Canada,Q3554466,Vancouver Quadra,female,1954-07-11,11,Q3187235-067D89F0-24BB-4BE1-BC4E-8CE8ED494E76
Q3188045,Judy Sgro,Q138345,Liberal Party of Canada,Q3572594,Humber River—Black Creek,female,1944-12-16,11,Q3188045-7ABE2B80-51B7-4881-ADBB-371D63602137
Q3195494,Kerry-Lynne Findlay,Q488523,Conservative Party of Canada,Q16999811,South Surrey—White Rock,female,1955-01-12,11,Q3195494-BA19B678-5236-4981-9B0F-58485B96236F
Q3195738,Kevin Lamoureux,Q138345,Liberal Party of Canada,Q3569367,Winnipeg North,male,1962-01-22,11,Q3195738-38631ECA-82CB-4404-8BF4-A4705FF5C97F
Q3197422,Kirsty Duncan,Q138345,Liberal Party of Canada,Q3059355,Etobicoke North,female,1966-10-31,11,Q3197422-2BF5D84E-7C4E-460F-B836-3BE529B84D90
Q3219913,Lawrence MacAulay,Q138345,Liberal Party of Canada,Q2938039,Cardigan,male,1946-09-09,11,Q3219913-A94DD02F-F029-47F0-B7BC-0DFDED325C73
Q3262931,Louis Plamondon,Q735105,Bloc Québécois,Q2886296,Bécancour—Nicolet—Saurel,male,1943-07-31,11,Q3262931-BA62844F-453D-4655-B8ED-A6363B4EDB0C
Q3263709,Louise Chabot,Q735105,Bloc Québécois,Q16842973,Thérèse-De Blainville,female,1955-01-01,9,Q3263709-0920B224-3BFE-4D80-96A2-B49D4540370A
Q3294109,Mark Holland,Q138345,Liberal Party of Canada,Q16960528,Ajax,male,1974-10-16,11,Q3294109-92FF80F5-A419-4625-89B4-3A7D9A2838BB
Q3308109,Michael Chong,Q488523,Conservative Party of Canada,Q3567185,Wellington—Halton Hills,male,1971-11-22,11,Q3308109-F87C69CA-3D39-4ACA-9E40-5E5F8B159DB7
Q3311457,Michelle Rempel Garner,Q488523,Conservative Party of Canada,Q2933912,Calgary Nose Hill,female,1980-02-14,11,Q3311457-F07BE666-9463-4E55-BBBE-2D61341C4815
Q3313399,Mike Lake,Q488523,Conservative Party of Canada,Q16966798,Edmonton—Wetaskiwin,male,1969-06-04,11,Q3313399-55EA446A-6A77-468B-AE90-9AEDF74D24C2
Q3341504,Niki Ashton,Q130765,New Democratic Party,Q16958326,Churchill—Keewatinook Aski,female,1982-09-09,11,Q3341504-96D5DB56-25C4-4473-BB55-0D71C23D1742
Q3351821,Omar Alghabra,Q138345,Liberal Party of Canada,Q975611,Mississauga Centre,male,1969-10-24,11,Q3351821-977D4955-2C00-4BBF-ABF5-AF3DD9018A92
Q3359999,Pablo Rodríguez,Q138345,Liberal Party of Canada,Q3140203,Honoré-Mercier,male,1967-06-21,11,Q3359999-B467EED7-DC30-4CD2-9682-591C0F1C7715
Q3376681,Peter Julian,Q130765,New Democratic Party,Q681292,New Westminster—Burnaby,male,1962-04-16,11,Q3376681-AC636C38-21E7-4F58-A309-151038E2A1A4
Q3386636,Pierre Poilievre,Q488523,Conservative Party of Canada,Q2939078,Carleton,male,1979-06-03,11,Q3386636-3BD6229C-349D-4F55-8FE5-1AF2435B601F
Q3418804,Randall Garrison,Q130765,New Democratic Party,Q17092809,Esquimalt—Saanich—Sooke,male,1951-08-27,11,Q3418804-9C326809-C74D-4A7A-8E84-A8C7501EB644
Q3434216,Rob Moore,Q488523,Conservative Party of Canada,Q267073,Fundy Royal,male,1974-05-14,11,Q3434216-DA5DCE5E-AF07-44CE-B02F-154717AF87C5
Q3476240,Scott Reid,Q488523,Conservative Party of Canada,Q16976721,Lanark—Frontenac—Kingston,male,1964-01-25,11,Q3476240-30FBC971-507E-452E-AB46-BFA4F64F3044
Q3476701,Sean Casey,Q138345,Liberal Party of Canada,Q2961057,Charlottetown,male,1963-05-16,11,Q3476701-93F00D8B-F9D2-416C-A35C-8B81B4419243
Q3499230,Steven Guilbeault,Q138345,Liberal Party of Canada,Q3219676,Laurier—Sainte-Marie,male,1970-06-09,11,Q3499230-48B93960-422A-471A-8C68-566B73A62F68
Q3501591,Stéphane Bergeron,Q735105,Bloc Québécois,Q16977815,Montarville,male,1965-01-28,11,Q3501591-F8C47A18-28FD-4E05-9925-A8FB82E35CDF
Q3503377,Sukh Dhaliwal,Q138345,Liberal Party of Canada,Q16979255,Surrey—Newton,male,1960-10-01,11,Q3503377-1B1A1B92-03D1-4EF0-B628-9FF36A5338DF
Q3528703,Tim Uppal,Q488523,Conservative Party of Canada,Q16974434,Edmonton Mill Woods,male,1974-11-14,11,Q3528703-B9EC07C4-15EB-4B6A-A44A-CCC6C6432BB5
Q3573412,Yves-François Blanchet,Q735105,Bloc Québécois,Q16840121,Belœil—Chambly,male,1965-04-16,11,Q3573412-10280464-1094-404A-BDC9-A67E03DDB21E
Q42308688,Dane Lloyd,Q488523,Conservative Party of Canada,Q16977239,Sturgeon River—Parkland,male,1991-02-16,11,Q42308688-DA039C14-E363-4C93-80B2-FC686E1DF415
Q42666524,Rosemarie Falk,Q488523,Conservative Party of Canada,Q2891841,Battlefords—Lloydminster,female,1988-01-01,9,Q42666524-22E22D2E-61DA-40AB-8691-CAB8BB37CB3A
Q445620,Elizabeth May,Q691730,Green Party of Canada,Q3460439,Saanich—Gulf Islands,female,1954-06-09,11,Q445620-81694447-3ADF-4D16-9D25-7DC495DEE49B
Q4492815,Chrystia Freeland,Q138345,Liberal Party of Canada,Q16977089,University—Rosedale,female,1968-08-02,11,Q4492815-5B10A67F-A0C9-4B6A-ADBE-899E306E6BEB
Q45311068,Churence Rogers,Q138345,Liberal Party of Canada,Q16844235,Bonavista—Burin—Trinity,male,2000-01-01,7,Q45311068-1DF35BD2-DC37-423E-BE04-7A8EF782D600
Q45311888,Jean Yip,Q138345,Liberal Party of Canada,Q3475169,Scarborough—Agincourt,female,1969-01-01,9,Q45311888-5267F9AC-0735-40A8-96CE-F00D42C6AB08
Q4772746,Anthony Housefather,Q138345,Liberal Party of Canada,Q3321616,Mount Royal,male,1970-01-01,9,Q4772746-5A30C435-CBED-4A7B-A0F4-D1DC86A9F220
Q4908168,Bill Blair,Q138345,Liberal Party of Canada,Q3475165,Scarborough Southwest,male,1954-01-01,9,Q4908168-CA1F047A-2953-4EA4-8B93-80EBCCA8D4A7
Q4934493,Bob Zimmer,Q488523,Conservative Party of Canada,Q3403325,Prince George—Peace River—Northern Rockies,male,1968-10-20,11,Q4934493-9597761A-231E-4BAA-95B8-BC64D708BBC2
Q4935396,Bobby Morrissey,Q138345,Liberal Party of Canada,Q3049209,Egmont,male,1954-11-18,11,Q4935396-71ECFB49-206C-4A41-881D-D7BFA327FE22
Q5108569,Chris d'Entremont,Q488523,Conservative Party of Canada,Q3345310,West Nova,male,1969-10-31,11,Q5108569-5492410A-9B11-43B7-A998-6218A336BEDC
Q5170456,Corey Tochor,Q488523,Conservative Party of Canada,Q16979773,Saskatoon—University,male,1970-01-01,8,Q5170456-C012D65B-3321-44D6-8588-FFA73B02EB06
Q5214525,Dan Vandal,Q138345,Liberal Party of Canada,Q16983980,Saint Boniface—Saint Vital,male,1960-04-18,11,Q5214525-48C682D3-BFD9-4BCC-8CC8-66AFDDA2ED0E
Q529968,Brian Masse,Q130765,New Democratic Party,Q3569303,Windsor West,male,1968-07-09,11,Q529968-380AC6C6-66CE-4F1B-B761-E50D18F9FD8B
Q55122163,George Chahal,Q138345,Liberal Party of Canada,Q16850507,Calgary Skyview,male,1975-01-01,9,Q55122163-5CD66526-7F9B-4673-AB20-B3C698E0AC84
Q55127770,Marty Morantz,Q488523,Conservative Party of Canada,Q2960785,Charleswood—St. James—Assiniboia—Headingley,male,1962-04-07,11,Q55127770-7E73284E-4830-4803-A269-B5767D079BA4
Q55584744,Laila Goodridge,Q488523,Conservative Party of Canada,Q16977823,Fort McMurray—Cold Lake,female,1985-01-01,8,Q55584744-DAE74170-E734-4A25-8FA7-9332EE383C3A
Q5703595,Helena Jaczek,Q138345,Liberal Party of Canada,Q16977352,Markham—Stouffville,female,1950-11-05,11,Q5703595-0CD338A3-4AE0-4945-89A7-723CC9979B60
Q59240247,Jenna Sudds,Q138345,Liberal Party of Canada,Q17088451,Kanata—Carleton,female,1975-01-01,8,Q59240247-F5F3375D-0ABA-46C5-821A-8400D4751331
Q6122681,Jagmeet Singh,Q130765,New Democratic Party,Q16966970,Burnaby South,male,1979-01-02,11,Q6122681-D3D9A080-AB52-4732-9C47-34C740D82817
Q6179373,Jenny Kwan,Q130765,New Democratic Party,Q958124,Vancouver East,female,1967-01-01,9,Q6179373-265A5535-0AF2-487B-8A17-A702C9629CBE
Q61881929,Scot Davidson,Q488523,Conservative Party of Canada,Q3572619,York—Simcoe,male,1990-01-01,9,Q61881929-A6CC6260-30F7-49E3-9980-E3CFC51E4EE4
Q61881930,Rachel Bendayan,Q138345,Liberal Party of Canada,Q3358662,Outremont,female,1980-01-01,9,Q61881930-8D9DF50F-C99B-4A03-BA88-AA4D75986EA6
Q6194065,Jim Carr,Q138345,Liberal Party of Canada,Q3569366,Winnipeg South Centre,male,1951-10-11,11,Q6194065-A10D6CD4-F5AD-4EB5-8A06-5A931D829D4C
Q62940707,Irek Kusmierczyk,Q138345,Liberal Party of Canada,Q3569307,Windsor—Tecumseh,male,1978-01-01,9,Q62940707-8A9EE734-94D7-4352-9EBB-7B7FFCCD1540
Q6385949,Kelly Block,Q488523,Conservative Party of Canada,Q16985258,Carlton Trail—Eagle Creek,female,1961-11-30,11,Q6385949-98022447-2396-4450-AE6F-2DF15BDC419D
Q6451430,Kyle Seeback,Q488523,Conservative Party of Canada,Q602263,Dufferin—Caledon,male,1971-08-19,11,Q6451430-459C1DC0-EEE7-4051-B36B-FA7B1BDABA97
Q6490735,Larry Maguire,Q488523,Conservative Party of Canada,Q2923794,Brandon—Souris,male,1949-06-01,11,Q6490735-D7E6D817-B57F-4F44-8A6C-935898A84371
Q6522015,Len Webber,Q488523,Conservative Party of Canada,Q16850460,Calgary Confederation,male,1960-11-10,11,Q6522015-CB8F0B53-2972-4287-B4CA-89DF31E273CB
Q67442310,Anita Anand,Q138345,Liberal Party of Canada,Q14875369,Oakville,female,1967-01-01,9,Q67442310-6C280530-1BDF-46B5-8A48-4E31E5D37E09
Q6755491,Marc Dalton,Q488523,Conservative Party of Canada,Q16979770,Pitt Meadows—Maple Ridge,male,1960-06-03,11,Q6755491-F4E404C3-6CE8-4F05-8888-5BDD8338620A
Q6757065,Marci Ien,Q138345,Liberal Party of Canada,Q921653,Toronto Centre,female,1969-07-29,11,Q6757065-3F4FFF11-0DDC-4D64-BB64-C93D1965B4C3
Q6788847,Matt Jeneroux,Q488523,Conservative Party of Canada,Q16966795,Edmonton Riverbend,male,1981-01-01,9,Q6788847-0FF7EE7E-07DA-44F8-8921-7F91AE95E3EE
Q6829490,Michael Coteau,Q138345,Liberal Party of Canada,Q3035922,Don Valley East,male,1972-06-21,11,Q6829490-C25C515C-75FF-45FA-87C1-56990E46DD96
Q6832752,Michael McLeod,Q138345,Liberal Party of Canada,Q606515,Northwest Territories,male,1959-09-06,11,Q6832752-947E08BD-ADF3-4273-A3E5-BF157EBFC0E7
Q703321,Marc Garneau,Q138345,Liberal Party of Canada,Q17044892,Notre-Dame-de-Grâce—Westmount,male,1949-02-23,11,Q703321-C64ACBA5-8BB4-4C06-A41D-F6166D68E6F7
Q7174026,Peter Fonseca,Q138345,Liberal Party of Canada,Q3316906,Mississauga East—Cooksville,male,1966-10-05,11,Q7174026-2850447C-7420-4AA0-9379-08EA95FC3F1C
Q71894607,Richard Bragdon,Q488523,Conservative Party of Canada,Q614586,Tobique—Mactaquac,male,1975-01-01,8,Q71894607-5161400E-539C-41CB-8CEE-5B4482798A08
Q71912401,Scott Aitchison,Q488523,Conservative Party of Canada,Q3366038,Parry Sound—Muskoka,male,1975-01-01,8,Q71912401-F07B2003-D495-4D65-8C0B-28C6950B91D2
Q71920812,Dan Mazier,Q488523,Conservative Party of Canada,Q16959462,Dauphin—Swan River—Neepawa,male,1960-01-01,8,Q71920812-F6B7E7EB-C835-4D00-9829-00EB8EF395CE
Q71920836,Gary Vidal,Q488523,Conservative Party of Canada,Q3024533,Desnethé—Missinippi—Churchill River,male,1965-01-01,9,Q71920836-6B2E5239-82E0-469A-AE9D-C0D47C9E2192
Q71920855,Heather McPherson,Q130765,New Democratic Party,Q3048071,Edmonton Strathcona,female,1972-05-09,11,Q71920855-EDED5386-0D2E-4EF9-9097-F700C2CA3C2B
Q71920882,Jeremy Patzer,Q488523,Conservative Party of Canada,Q3008864,Cypress Hills—Grasslands,male,1987-01-01,9,Q71920882-6DA07E2B-E331-4369-BB5B-4C9F7EEDB6F5
Q71920912,Damien Kurek,Q488523,Conservative Party of Canada,Q16950705,Battle River—Crowfoot,male,1990-01-01,8,Q71920912-C1456099-E687-4BB6-A5BF-F4BC0F9258C5
Q71920931,Greg McLean,Q488523,Conservative Party of Canada,Q2933894,Calgary Centre,male,,,Q71920931-B53CF2D7-C45C-45C1-82AB-AAE98A859784
Q71920975,Richard Lehoux,Q488523,Conservative Party of Canada,Q2893126,Beauce,male,1956-01-01,9,Q71920975-E9106513-641A-402A-B235-D5AEAE70D8C2
Q71921009,Jenica Atwin,Q138345,Liberal Party of Canada,Q3087204,Fredericton,female,1987-01-10,11,Q71921009-DE085C91-1E3E-43CC-955C-AC46E86F6DA5
Q71921024,Jasraj Hallan,Q488523,Conservative Party of Canada,Q16850464,Calgary Forest Lawn,male,,,Q71921024-17DEA518-D894-4178-9DE7-812B8BA9CA12
Q71929780,Ryan Turnbull,Q138345,Liberal Party of Canada,Q16967060,Whitby,male,1977-07-15,11,Q71929780-84908EB3-88B1-4662-BD58-ED6F2DE81A75
Q71929797,Marcus Powlowski,Q138345,Liberal Party of Canada,Q3526042,Thunder Bay—Rainy River,male,1960-01-20,11,Q71929797-7B9AB37F-4AE5-43B9-A826-3A79C8C9071B
Q71929868,Tony Baldinelli,Q488523,Conservative Party of Canada,Q3339434,Niagara Falls,male,1960-01-01,8,Q71929868-994586D4-8804-4489-ADEB-9E9A4FE3CEF7
Q71929888,Terry Dowdall,Q488523,Conservative Party of Canada,Q3484122,Simcoe—Grey,male,1960-01-01,8,Q71929888-7F0B5BC3-9CF1-4615-B1BE-27A1A064AFF4
Q71929907,Alex Ruff,Q488523,Conservative Party of Canada,Q2926493,Bruce—Grey—Owen Sound,male,1974-01-01,9,Q71929907-47E8F88A-A195-4D98-91DC-AC3E96E45708
Q71929935,Dave Epp,Q488523,Conservative Party of Canada,Q16961184,Chatham-Kent—Leamington,male,1962-06-10,11,Q71929935-9940B436-2711-4599-8AE4-3AC225B90DF5
Q71929954,Doug Shipley,Q488523,Conservative Party of Canada,Q16950439,Barrie—Springwater—Oro-Medonte,male,1966-06-10,11,Q71929954-5231438C-0558-4B3E-881D-9F6B8F3AB5EE
Q71929973,Kody Blois,Q138345,Liberal Party of Canada,Q3197141,Kings—Hants,male,1991-01-17,11,Q71929973-6D2E8C5F-DE40-467F-9BFC-DE74B348E517
Q71930000,Mike Kelloway,Q138345,Liberal Party of Canada,Q2937241,Cape Breton—Canso,male,1970-09-09,11,Q71930000-655A236F-55BC-402C-83B5-F485D54AD9C6
Q71930019,Lianne Rood,Q488523,Conservative Party of Canada,Q3216699,Lambton—Kent—Middlesex,female,1979-01-01,9,Q71930019-9A53B8BA-8BBD-42A4-AC1C-708B39D2A557
Q71936954,Rob Morrison,Q488523,Conservative Party of Canada,Q3198835,Kootenay—Columbia,male,1956-05-03,11,Q71936954-BB63AAA5-C83B-4789-9F78-6F5DC438BF89
Q71936974,Tracy Gray,Q488523,Conservative Party of Canada,Q3194929,Kelowna—Lake Country,female,,,Q71936974-4E9E540B-0A9B-44AB-A7DD-CE0012E2431E
Q71936984,Patrick Weiler,Q138345,Liberal Party of Canada,Q3567450,West Vancouver—Sunshine Coast—Sea to Sky Country,male,1986-01-01,9,Q71936984-195C8191-6999-44FA-A5C9-F8330EC27467
Q71936991,Raquel Dancho,Q488523,Conservative Party of Canada,Q3196587,Kildonan—St. Paul,female,1990-01-01,9,Q71936991-DD562E65-0B69-41A9-9E9B-733D05A91FF9
Q71936994,Taylor Bachrach,Q130765,New Democratic Party,Q3486212,Skeena—Bulkley Valley,male,,,Q71936994-4CF8F2B5-2B01-445B-B140-A5262CA25D58
Q71937024,Leah Gazan,Q130765,New Democratic Party,Q3569365,Winnipeg Centre,female,1971-01-01,9,Q71937024-D31DAEE0-6C38-4796-AF15-B7902E13FB62
Q71937029,Brad Redekopp,Q488523,Conservative Party of Canada,Q3473801,Saskatoon West,male,1960-01-01,8,Q71937029-0B07ABFB-23B7-4BF6-940D-353A21281D77
Q71937041,Eric Melillo,Q488523,Conservative Party of Canada,Q3195247,Kenora,male,1998-03-27,11,Q71937041-900C5BA6-C050-4E28-A366-CC9033DC4824
Q71937055,Eric Duncan,Q488523,Conservative Party of Canada,Q3499856,Stormont—Dundas—South Glengarry,male,1987-11-10,11,Q71937055-2AC88043-B61C-40FE-BECC-197E76817439
Q71942357,Lindsay Mathyssen,Q130765,New Democratic Party,Q3258986,London—Fanshawe,female,,,Q71942357-E42DCDE8-1DBF-4878-8FF4-9ABD6A7ED45F
Q71942395,Brad Vis,Q488523,Conservative Party of Canada,Q16999752,Mission—Matsqui—Fraser Canyon,male,1984-01-01,9,Q71942395-E4DF43B2-DA79-48CB-B4C9-42BF57A5970C
Q71942460,Laurel Collins,Q130765,New Democratic Party,Q3557672,Victoria,female,1984-05-07,11,Q71942460-1F8E3A42-4987-4862-9260-B84705FA3A54
Q71942473,Maninder Sidhu,Q138345,Liberal Party of Canada,Q16953382,Brampton East,male,1984-04-26,11,Q71942473-C21E96CF-1B9C-4951-8F38-CF36AEF8712F
Q71973951,Kristina Michaud,Q735105,Bloc Québécois,Q16836105,Avignon—La Mitis—Matane—Matapédia,female,1993-02-01,11,Q71973951-A0B424E7-5D78-4C1A-9235-8002BADC73A4
Q71991319,Julie Vignola,Q735105,Bloc Québécois,Q2893257,Beauport—Limoilou,female,1950-01-01,7,Q71991319-FF52052B-87EB-4DEF-BB30-B749484C9323
Q72012003,Sameer Zuberi,Q138345,Liberal Party of Canada,Q600123,Pierrefonds—Dollard,male,1979-08-01,10,Q72012003-9846F8CB-0FD2-40F0-8BF8-9F48108A1C6B
Q72012015,Soraya Martinez Ferrada,Q138345,Liberal Party of Canada,Q3138926,Hochelaga,female,,,Q72012015-D64363A9-2782-47EC-8177-D56C6D6254F2
Q72012050,Annie Koutrakis,Q138345,Liberal Party of Canada,Q16978570,Vimy,female,,,Q72012050-718DDF1A-5402-4046-B529-DA85B42A252C
